Level,Hierarchical structure,Code,Parent,Class title,Class definition
4,Subclass (Field),RDF5050105,RDF50501,Civil law,This subclass comprises research and experimental development in civil law.
4,Subclass (Field),RDF5050106,RDF50501,Common law,This subclass comprises research and experimental development in common law.
4,Subclass (Field),RDF5050107,RDF50501,"Business, commercial and corporate law","This subclass comprises research and experimental development in business, commercial and corporate law."
4,Subclass (Field),RDF5050108,RDF50501,Comparative law,This subclass comprises research and experimental development in comparative law.
4,Subclass (Field),RDF5050109,RDF50501,Constitutional law,This subclass comprises research and experimental development in constitutional law.
4,Subclass (Field),RDF5050110,RDF50501,Criminal law and procedure,This subclass comprises research and experimental development in criminal law and procedure.
4,Subclass (Field),RDF5050111,RDF50501,Environmental and natural resources law,This subclass comprises research and experimental development in environmental and natural resources law.
4,Subclass (Field),RDF5050112,RDF50501,Equity and trusts law,This subclass comprises research and experimental development in equity and trusts law.
4,Subclass (Field),RDF5050113,RDF50501,"Family law, children's law and elder law","This subclass comprises research and experimental development in family law, children's law and elder law."
4,Subclass (Field),RDF5050114,RDF50501,Human rights,This subclass comprises research and experimental development in human rights.
4,Subclass (Field),RDF5050115,RDF50501,Intellectual property law,This subclass comprises research and experimental development in intellectual property law.
4,Subclass (Field),RDF5050116,RDF50501,Tax law,This subclass comprises research and experimental development in tax law.
4,Subclass (Field),RDF5050117,RDF50501,"Torts, private obligations and product liability law","This subclass comprises research and experimental development in torts, private obligations and product liability law."
4,Subclass (Field),RDF5050118,RDF50501,"Labour, employment, compensation and pension law","This subclass comprises research and experimental development in labour, employment, compensation and pension law."
4,Subclass (Field),RDF5050119,RDF50501,Property law (except intellectual property law),This subclass comprises research and experimental development in property law (except intellectual property law).
4,Subclass (Field),RDF5050120,RDF50501,Consumer law,This subclass comprises research and experimental development in consumer law.
4,Subclass (Field),RDF5050121,RDF50501,Health law,This subclass comprises research and experimental development in health law.
4,Subclass (Field),RDF5050122,RDF50501,Law and technology,This subclass comprises research and experimental development in law and technology.
4,Subclass (Field),RDF5050123,RDF50501,Law and society,This subclass comprises research and experimental development in law and society.
4,Subclass (Field),RDF5050124,RDF50501,Cyberlaw and cyberjustice,This subclass comprises research and experimental development in cyberlaw and cyberjustice.
4,Subclass (Field),RDF5050125,RDF50501,Outer space law and policy,This subclass comprises research and experimental development in outer space law and policy.
4,Subclass (Field),RDF5050199,RDF50501,"Law (except legal practice and international law), n.e.c.","This subclass comprises research and experimental development in law (except legal practice and international law), n.e.c."
3,Class,RDF50502,RDF505,Legal practice,This class comprises research and experimental development in legal practice.
4,Subclass (Field),RDF5050201,RDF50502,Legal institutions (including courts and justice systems),This subclass comprises research and experimental development in legal institutions (including courts and justice systems).
4,Subclass (Field),RDF5050202,RDF50502,Lawyering and the legal profession,This subclass comprises research and experimental development in lawyering and the legal profession.
4,Subclass (Field),RDF5050203,RDF50502,"Legal theory, jurisprudence and legal interpretation","This subclass comprises research and experimental development in legal theory, jurisprudence and legal interpretation."
4,Subclass (Field),RDF5050204,RDF50502,"Litigation, adjudication and dispute resolution","This subclass comprises research and experimental development in litigation, adjudication and dispute resolution."
