Journal title,Journal ISSN (print version),Journal EISSN (online version),Deposit policy directory,URL for deposit policy
Mathematics Research Reports,,2772-9559,Mir@bel,https://reseau-mirabel.info/revue/titre-id/12095
Annales Henri Lebesgue,,2644-9463,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8347
Humanités numériques,,2736-2337,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8397
Esclavages & Post-esclavages,,2540-6647,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9210
Déméter : théories et pratiques artistiques contemporaines,,1638-556X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10192
grandes figures historiques dans les lettres et les arts,,2261-0871,Mir@bel,https://reseau-mirabel.info/revue/titre-id/7523
Lexique,0756-7138,2804-7397,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10207
Mosaïque,,2105-1100,Mir@bel,https://reseau-mirabel.info/revue/titre-id/20562
Sciences Eaux & Territoires,2109-3016,1775-3783,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2048
Revue du Rhin supérieur,2681-6792,2803-9513,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10673
"Frontière·s. Revue d'archéologie, histoire & histoire de l'art",,2534-7535,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9469
Comptes rendus. Biologies,1631-0691,1768-3238,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5465
Comptes rendus. Chimie,1631-0748,1878-1543,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5464
Comptes rendus. Géoscience,1631-0713,1778-7025,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5466
Comptes rendus. Mathématique,1631-073X,1778-3569,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5467
Comptes rendus. Mécanique,1631-0721,1873-7234,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5468
Comptes rendus. Physique,1631-0705,1878-1535,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5672
Archipélies,2110-7130,2777-5909,Mir@bel,https://reseau-mirabel.info/revue/titre-id/11812
Contextes et Didactiques,,2551-6116,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5676
Études caribéennes,1779-0980,1961-859X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/665
Voix contemporaines,,2801-2321,Mir@bel,https://reseau-mirabel.info/revue/titre-id/11135
Confluentes Mathematici,1793-7442,1793-7434,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5709
Actualité juridique du dommage corporel,,2497-2118,Mir@bel,https://reseau-mirabel.info/revue/titre-id/9762
Cahiers Fablijes,,2999-9154,Mir@bel,https://reseau-mirabel.info/revue/titre-id/22021
Canal psy,1253-9392,2777-2055,Mir@bel,https://reseau-mirabel.info/revue/titre-id/14732
Parcours anthropologiques,1634-7706,2273-0362,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2592
