"Please go to the Journal URL, find out when the journal started publishing under an OA model, and add the date in column H.",,,,,,,,,
Journal title,Journal URL,eISSN,URL in DOAJ,pISSN,Publisher,Country,OA Start,Man. Ed,
Licere,https://periodicos.ufmg.br/index.php/licere/index,1981-3171,https://doaj.org/toc/cdea1d025c9a48019bd88c5fa99ca9d4,1516-2168,Programa de Pós-Graduação Interdisciplinar em Estudos do lazer,Brazil,2009,Alejandra,
Revista de Ciências Farmacêuticas Básica e Aplicada,https://rcfba.fcfar.unesp.br/index.php/ojs/about,2179-443X,https://doaj.org/toc/2f53554066504172af844d85d87cd7a8,1808-4532,São Paulo State University (UNESP),Brazil,2010,Alejandra,
Revista da Faculdade de Direito UFPR,https://revistas.ufpr.br/direito/about,2236-7284,https://doaj.org/toc/39752ea483914716bb54943c0138caf7,,Sistema de Bibliotecas (SIBI) da Universidade Federal do Paraná,Brazil,2013,Alejandra,
Revista Enfermagem Atual in Derme,https://revistaenfermagematual.com/index.php/revista/home,2447-2034,https://doaj.org/toc/abc69f7be79c4ddf8b3c772f076ed8da,,Sociedade Brasileira de Enfermagem em Feridas e Estética,Brazil,2015,Alejandra,
Revista Brasileira de Sexualidade Humana,https://www.rbsh.org.br/,2675-1194,https://doaj.org/toc/a960a08c8d114ec89626d1567656d376,0103-6122,Sociedade Brasileira de Estudos em Sexualidade Humana (SBRASH),Brazil,2009,Alejandra,
Geochimica Brasiliensis,https://www.geobrasiliensis.org.br,2358-2812,https://doaj.org/toc/80c2c07eed494b2782687dd1830aa4e5,0102-9800,Sociedade Brasileira de Geoquímica,Brazil,2003,Alejandra,
Revista Brasileira de História da Matemática,http://www.rbhm.org.br/index.php/RBHM,2675-7079,https://doaj.org/toc/f66b07ba4d2d47f1acf3e181fd37b993,1519-955X,Sociedade Brasileira de História da Matemáticas (SBHMat),Brazil,2009,Alejandra,
Revista de Doutrina Jurídica,https://revistajuridica.tjdft.jus.br/index.php/rdj,2675-9640,https://doaj.org/toc/18ead3ad153f49d4a308ff29652ba56d,2675-9624,Tribunal de Justiça do Distrito Federal e dos Territórios,Brazil,2015,Alejandra,
ReDiPE,https://periodicos.unifesspa.edu.br/index.php/ReDiPE/,2675-2271,https://doaj.org/toc/52fea79b5677434b85d49f8b7204f286,,UNIFESSPA,Brazil,2019,Alejandra,
RGO. Revista Gestão Organizacional,http://bell.unochapeco.edu.br/revistas/index.php/rgo/index,1983-6635,https://doaj.org/toc/e19f594a9436490489d52719719f5149,1806-6720,Universidade Comunitária da Região de Chapecó,Brazil,2008,Alejandra,
