code,term,journals,applications
PN1600-3307,Drama,34,20
PN1993-1999,Motion pictures,23,20
PN2000-3307,Dramatic representation. The theater,28,34
PN4001-4355,"Oratory. Elocution, etc.",2,5
PN4699-5650,"Journalism. The periodical press, etc.",47,79
PQ1-3999,French literature - Italian literature - Spanish literature - Portuguese literature,224,308
PR1-9680,English literature,86,155
PS1-3576,American literature,28,38
PT1-4897,German literature,20,27
PT8301-9155,Norwegian literature,1,2
Q,Science,2860,1591
Q1-390,Science (General),420,640
Q300-390,Cybernetics,26,49
Q350-390,Information theory,23,37
QA1-939,Mathematics,1138,1051
QA273-280,Probabilities. Mathematical statistics,89,118
QA299.6-433,Analysis,31,65
QA71-90,Instruments and machines,316,29
QA75.5-76.95,Electronic computers. Computer science,678,860
QA76.75-76.765,Computer software,84,195
QA801-939,Analytic mechanics,7,14
QB1-991,Astronomy,61,69
QB275-343,Geodesy,28,49
QB460-466,Astrophysics,17,40
QC1-75,General,1,7
QC1-999,Physics,461,558
QC120-168.85,Descriptive and experimental mechanics,14,31
QC170-197,Atomic physics. Constitution and properties of matter,11,35
QC221-246,Acoustics. Sound,18,39
QC251-338.5,Heat,7,12
QC310.15-319,Thermodynamics,8,21
QC350-467,Optics. Light,58,95
QC501-721,Electricity,5,11
QC501-766,Electricity and magnetism,26,22
QC717.6-718.8,Plasma physics. Ionized gases,3,11
QC770-798,Nuclear and particle physics. Atomic energy. Radioactivity,40,74
QC793-793.5,Elementary particle physics,2,7
QC794.95-798,Radioactivity and radioactive substances,2,2
QC801-809,Geophysics. Cosmic physics,62,108
QC811-849,Geomagnetism,4,5
QC851-999,Meteorology. Climatology,86,163
QD1-65,General. Including alchemy,3,12
QD1-999,Chemistry,564,705
QD146-197,Inorganic chemistry,35,49
QD241-441,Organic chemistry,109,49
QD415-436,Biochemistry,175,264
QD450-801,Physical and theoretical chemistry,48,47
QD71-142,Analytical chemistry,55,74
QD901-999,Crystallography,14,23
QE1-996.5,Geology,312,490
QE351-399.2,Mineralogy,11,31
QE420-499,Petrology,8,18
QE500-639.5,Dynamic and structural geology,15,37
QE640-699,Stratigraphy,11,27
QE701-760,Paleontology,21,49
QH1-199.5,"General. Including nature conservation, geographical distribution",54,105
QH1-278.5,Natural history (General),19,39
QH201-278.5,Microscopy,5,13
QH301-705.5,Biology (General),1035,1410
QH359-425,Evolution,35,76
QH426-470,Genetics,231,411
QH471-489,Reproduction,19,52
QH501-531,Life,19,50
QH540-549.5,Ecology,228,432
QH573-671,Cytology,88,156
QH705-705.5,Economic biology,4,9
QK1-989,Botany,249,338
QK900-989,Plant ecology,43,93
QL1-991,Zoology,277,359
QM1-695,Human anatomy,29,52
QP1-981,Physiology,155,163
QP351-495,Neurophysiology and neuropsychology,29,69
QP501-801,Animal biochemistry,21,44
QR1-502,Microbiology,248,428
QR100-130,Microbial ecology,16,45
R,Medicine,3631,3421
R131-687,History of medicine. Medical expeditions,12,26
R5-130.5,General works,11,55
R5-920,Medicine (General),1344,1943
R723-726,Medical philosophy. Medical ethics,37,70
R855-855.5,Medical technology,122,290
R858-859.7,Computer applications to medicine. Medical informatics,124,276
R895-920,Medical physics. Medical radiology. Nuclear medicine,129,300
RA1-1270,Public aspects of medicine,679,1157
RA1190-1270,Toxicology. Poisons,57,99
RB1-214,Pathology,97,147
RC109-216,Infectious and parasitic diseases,180,411
RC1200-1245,Sports medicine,111,200
RC254-282,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,322,692
RC31-1245,Internal medicine,930,351
RC321-571,Neurosciences. Biological psychiatry. Neuropsychiatry,359,473
RC346-429,Neurology. Diseases of the nervous system,263,413
RC435-571,Psychiatry,172,270
RC475-489,Therapeutics. Psychotherapy,39,65
RC581-607,Immunologic diseases. Allergy,120,261
RC581-951,Specialties of internal medicine,302,107
RC620-627,Nutritional diseases. Deficiency diseases,50,143
RC633-647.5,Diseases of the blood and blood-forming organs,74,129
RC648-665,Diseases of the endocrine glands. Clinical endocrinology,103,213
RC666-701,Diseases of the circulatory (Cardiovascular) system,285,516
RC705-779,Diseases of the respiratory system,81,180
RC799-869,Diseases of the digestive system. Gastroenterology,134,262
RC86-88.9,Medical emergencies. Critical care. Intensive care. First aid,123,268
RC870-923,Diseases of the genitourinary system. Urology,130,274
RC925-935,Diseases of the musculoskeletal system,81,176
RC952-1245,Special situations and conditions,71,46
RC952-954.6,Geriatrics,79,155
RC955-962,Arctic medicine. Tropical medicine,35,78
RC963-969,Industrial medicine. Industrial hygiene,20,38
RD1-811,Surgery,348,618
RD701-811,Orthopedic surgery,91,227
RD78.3-87.3,Anesthesiology,69,144
RE1-994,Ophthalmology,107,207
RF1-547,Otorhinolaryngology,72,126
RG1-991,Gynecology and obstetrics,166,294
RJ1-570,Pediatrics,235,376
RK1-715,Dentistry,309,522
RL1-803,Dermatology,95,184
RM1-950,Therapeutics. Pharmacology,352,615
RS1-441,Pharmacy and materia medica,278,407
RT1-120,Nursing,295,606
RX1-681,Homeopathy,8,27
RZ201-275,Chiropractic,2,5
RZ201-999,Other systems of medicine,67,182
RZ301-397.5,Osteopathy,6,9
RZ399,"Osteo-magnetics, neuropathy, etc.",0,1
RZ400-408,Mental healing,19,40
