ID,OA Start Date,In doaj?
57d900f603bb43f6a14f3e83813f5ec8,2012,True
57e23442149c440fa6803c8b759f61c2,2007,True
5773a24ee977477f8c282c158d56f022,2011,True
5833ed12e7c34229bbb940783e857df3,2007,True
571ba8cd73fc4ba5a79248ccd6f71a85,2011,True
5896f24de99844a08b592c8328e75fbf,2013,True
586ff7864cc242d0a5032c939e2367c2,2010,True
58d35d041d664fc3936024446b3e12ff,2013,True
57fb47f3574445448ae98cff8846df46,2007,True
6c1a1147573045e6b8a8507779480a3b,2015,True
6c29ce820782410c8cd40a8f4602f271,2014,True
6b1cadbb56404b278991799e04b5f2e9,2010,True
6a65630caea04a2786eea9a4882af45e,1998,True
6a6d24adfbcd485882768bb766ba3902,2015,True
6acc2f3a8af147f1af0316cbf3b34354,2013,True
6bbb1ba51c2c4445970d79b930d06822,2006,True
6be05c8021c34352bf2bedddfaec85bf,2013,True
6b969bb857d44b249682a356d1261713,2016,True
6b15e769bc454c67af35aa2a136586de,2012,True
7e11e7235b44410183621aef394cdd0f,1997,True
7e208e6da9b6488483341f82aed0c7e8,2014,True
7cf935fd606d4ec2b5f93962fe80bdb3,2009,True
7d272aecee154eca8f7b026f4131e714,2010,True
7d30b7f2ba234b97bc3ef5a58819045c,2015,True
7de72eb6cb754c77923f011ed0cd6713,2014,True
7df58960ae64420f8abd457b86c71415,2015,True
7da5d52e33fe45d991562895598ace96,2008,True
7dbc507207db4807b83baa064ff76892,2010,True
7dbc89db1cce4ad587da0c5590e148a3,2014,False
7d5b2a1fac9844d39ddeea6021871860,2015,True
7ca58c5dfb2d4bd593a0e41d90420e8a,2012,True
7cf14bc30239421fa3aa98990933b843,2013,True
7e9182c05e1b4c0db75b0ed193c1e0fa,2008,True
92735fb9c606471fa17c23967c8a2e72,2015,True
929cb79f2c9f4cd39c46b03e34b8abf6,2010,True
919df09b521644ec88a4e126f6a2b4a8,1993,True
91a0bfaf2e0148938f180412d71591a3,2015,True
90d79ef5bf7e46c791c8cc8762b07261,2012,True
90fc00d82aff4b53a785dfe32eef784d,2017,True
9119a5daf84d4b4497f1639e4007af3c,2007,True
912154ad5f26453d909ab0c6c8644bfb,2016,True
92cb196c8ec840c5b0769ec1108b9638,1984,True
916e93b8518444b89a631aa25976a92c,2015,True
918cbc5672b0466c9999ffa999f0bb0f,2005,True
91ff146023f94b70b6823b78b775ec39,2011,False
924c70ffc83440078023660d2b4bf29c,2009,True
a8db155b7d804b2f9dd6795413bccd11,2013,True
a9328d1d9bba411ebc4a4eee60648aee,2011,True
a9d2512d05414b658189016bdcf2e164,1994,True
a9da2ab0a0a14a0d9fbfefbcc6f89a70,2011,True
b6cfaf6a306647a48954817d0cb47e39,2012,True
b71cfcd88cad46cd90b971b694489886,2002,True
b71fc510a2f6477cacce46871eea3e0e,2016,True
b7a049d8b5094cf9a71746f27e4d252e,2006,True
b652ec65a1474f59aa7f6b3b4c9ea804,2013,True
b7fc9417ce854783beadeb9a8dab0007,2014,True
c5e90a61f8484b37842ee4c0d1a60f2b,1969,True
c5f32072ef694ae6b9685acbf9fe4265,2015,True
c602f213d9274c9fbdb2ef2eeb42aaa6,2003,True
c61026570f4345a5aaaf72ed46e3213d,2014,True
c5a09bffad2744c49f6f6e2d8d82e001,2006,True
c67be93a099b445783973403f6f0c77e,2007,True
c6ed51605ee2485e9edc1e59953cba33,2011,True
c72ca054002c442e8cdaa7e159a3164c,1983,True
c73a0427a66b43ce9e066fab6f941809,2013,True
c6509744efcf4ac1ac8c0d6c6e30c4d3,2009,True
c7b3bb91d3d9455882ec0b6a5b22e519,2016,True
026a1822fe744ca69801198efd6f4088,2009,True
0284c553a30e49dabdde0d51c877b31d,2013,False
028570b6ed614581995ef38cf1ed499e,2015,True
00d9fd00ac6f48bc8e20a336272002ff,2015,True
0111c0739df045c1871717d272d2da48,2015,True
0229d04d40ad492ca5b26917774ba4b9,2011,True
0172cf70305845508fb05fe7bcae115f,2007,True
013edb422b854b30bf504f95f8ecf061,2010,True
00979e3ce58a4a8fbcedf906762c70c0,2012,False
134f44f8b7b84141849d12761f9b8f6c,2014,True
1361cdab7a3a4dc2aa73dfd981ec8d41,2016,True
13782067c66d46a9b737875efdfab841,2013,False
151cd5432ced4eae895a0d0391369a9b,2008,True
13440ab06edd4f7d9ac620c2303a1240,2013,True
139f6f5c9cd84ef889d21f44ecc200ac,2004,True
13a12384eb47493689d891170284ad6d,2007,True
13b1ea231f374a5a96f181a1383cf353,2015,True
1475779a7f7e4c82a9ddcb577b38cc3f,2007,True
15bf3149865d428fb6356aa9a4367fbe,2012,False
15489cc032cc4bef97ec002b8f8ebad2,2008,True
254976574a424e24a37de4b20ca5e64f,2015,True
23a6c3871d4444c2bb73092cf99fa74b,1970,True
