Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Publisher,Country of publisher
Estudos Semióticos,https://www.revistas.usp.br/esse/,https://doaj.org/toc/89818e0188c3412f82932454f3456187,1980-4016,,"Universidade de São Paulo, Letras e Ciências Humanas",Brazil
Domínios de Lingu@gem,http://www.seer.ufu.br/index.php/dominiosdelinguagem,https://doaj.org/toc/127d5a782db14ce5b4cb63c4333431a7,1980-5799,,Universidade Federal de Uberlândia,Brazil
Journal of Urban and Environmental Engineering,http://www.journal-uee.org/,https://doaj.org/toc/acc1ffb26ea9406395551ddcdf998f93,1982-3932,,University of Paraiba,Brazil
Revista Espaço do Currículo,http://periodicos.ufpb.br/ojs2/index.php/rec,https://doaj.org/toc/83297dbe134445d98a22f2fb5ea5d693,1983-1579,,Universidade Federal da Paraíba,Brazil
Revista Gestão Universitária na América Latina,https://periodicos.ufsc.br/index.php/gual/index,https://doaj.org/toc/d1580b6dc2984f38a4b22d5f5210c938,1983-4535,,Universidade Federal de Santa Catarina,Brazil
Revista Brasileira de Geografia Física,https://periodicos.ufpe.br/revistas/rbgfe,https://doaj.org/toc/acb14682689741ae9f55ef7f2ab7b386,1984-2295,,Universidade Federal de Pernambuco,Brazil
Revista Eletrônica de Estratégia e Negócios,http://www.portaldeperiodicos.unisul.br/index.php/EeN,https://doaj.org/toc/50ad024bfc114d0f900884cebdee30b1,1984-3372,,Universidade do Sul de Santa Catarina,Brazil
Revista Tecnologias na Educação,http://tecedu.pro.br,https://doaj.org/toc/f8fd06454cf243d0854be5444cf97b2b,1984-4751,,Universidade Federal de Minas Gerais,Brazil
Revista Turismo em Análise,http://www.revistas.usp.br/rta/,https://doaj.org/toc/d85a20231d734328987162a2944ea86e,1984-4867,,Universidade de São Paulo,Brazil
Childhood & Philosophy,http://www.e-publicacoes.uerj.br/index.php/childhood/,https://doaj.org/toc/5ae03b3aac2b4be6bdf7ab81e9ac3c90,1984-5987,,Universidade do Estado do Rio de Janeiro,Brazil
"Sexualidad, Salud y Sociedad: Revista Latinoamericana",http://www.e-publicacoes.uerj.br/index.php/SexualidadSaludySociedad/index,https://doaj.org/toc/518f7857d5b9478e88eab533484be9bb,1984-6487,,Universidade do Estado do Rio de Janeiro,Brazil
ENE. Revista de Enfermería,http://ene-enfermeria.org/,https://doaj.org/toc/57b65c8ce4f54bd6ac611df56a7c8750,1988-348X,,Ene,Spain
International Journal of Interactive Multimedia and Artificial Intelligence,http://www.ijimai.org/journal,https://doaj.org/toc/1e5758f9ff94458b97622ec6568edcb0,1989-1660,,Universidad Internacional de La Rioja (UNIR),Spain
Prisma Social,https://revistaprismasocial.es/index,https://doaj.org/toc/1bafc066bd324421845e4075efa8658d,1989-3469,,Fundación iS+D para la Investigación Social Avanzada,Spain
Arqueología Iberoamericana,http://www.laiesken.net/arqueologia/,https://doaj.org/toc/46708be656e3414981253e19dcc30158,1989-4104,,Dr. Pascual Izquierdo-Egea,Spain
Ge-conservación,http://ge-iic.com/ojs/index.php/revista,https://doaj.org/toc/08d5436c19454e07a44b6205add55048,1989-8568,,Grupo Español del IIC,Spain
WPOM : Working Papers on Operations Management,http://polipapers.upv.es/index.php/WPOM,https://doaj.org/toc/e50d91b333824d6295c80f7ab8b79772,1989-9068,,Universidad Politécnica de Valencia,Spain
European Journal of American Studies,http://ejas.revues.org/,https://doaj.org/toc/f26bb49bbde845f999f8c1b312806617,1991-9336,,European Association for American Studies,France
Energies,http://www.mdpi.com/journal/energies,https://doaj.org/toc/83c088717e9d406296cc344d42afc607,1996-1073,,MDPI AG,Switzerland
Materials,http://www.mdpi.com/journal/materials/,https://doaj.org/toc/03be4a65b844487e8cbab60ef912a1fe,1996-1944,,MDPI AG,Switzerland
Journal of Stress Physiology & Biochemistry,http://www.jspb.ru/,https://doaj.org/toc/7f2b2f3fdfcc4b1391f0b7638bf2d5e7,1997-0838,,"""Vikol publishing"" ST Kolesnichenko V.V.",Russian Federation
Forests,http://www.mdpi.com/journal/forests/,https://doaj.org/toc/d47e2b25d85841e0b8782f06bd2eba13,1999-4907,,MDPI AG,Switzerland
Viruses,http://www.mdpi.com/journal/viruses,https://doaj.org/toc/1019b5b8446b47388bf2c90248d65ced,1999-4915,,MDPI AG,Switzerland
Pharmaceutics,http://www.mdpi.com/journal/pharmaceutics/,https://doaj.org/toc/14f7881b92854f9c91434f7f4fec163b,1999-4923,,MDPI AG,Switzerland
Future Internet,http://www.mdpi.com/journal/futureinternet/,https://doaj.org/toc/d2aec0778e8340b0b2d9a07cffd6bea6,1999-5903,,MDPI AG,Switzerland
ReCIBE,http://recibe.cucei.udg.mx/,https://doaj.org/toc/ad395a7a03264b1da364329559ef976e,2007-5448,,Universidad de Guadalajara,Mexico
Journal of Dentistry of Tehran University of Medical Sciences,https://jdt.tums.ac.ir/index.php/jdt,https://doaj.org/toc/6e7ce75f92d9411c804848a22c22a16a,2008-2185,,Tehran University of Medical Sciences,"Iran, Islamic Republic of"
Electronic Physician,http://www.ephysician.ir,https://doaj.org/toc/21bbf35b586c47daa59184fc2b34cf77,2008-5842,,Electronic Physician,"Iran, Islamic Republic of"
Academia y Virtualidad,http://revistas.unimilitar.edu.co/index.php/ravi/index,https://doaj.org/toc/a1ef7bbf094543edb1f28824507efe4e,2011-0731,,Editorial Neogranadina,Colombia
Salud Uninorte,http://rcientificas.uninorte.edu.co/index.php/salud/,https://doaj.org/toc/c6c9d9cf1f35434d984c30c2771e117a,2011-7531,,Universidad del Norte,Colombia
Bellaterra Journal of Teaching & Learning Language & Literature,http://revistes.uab.cat/jtl3/index,https://doaj.org/toc/61afaca82d05451aa7ec34b71bfa166e,2013-6196,,Universitat Autònoma de Barcelona,Spain
Forma,http://www.upf.edu/forma,https://doaj.org/toc/3cb0c38fc39745d890323da38329d242,2013-7761,,Universitat Pompeu Fabra,Spain
REMIE : Multidisciplinary Journal of Educational Research,http://remie.hipatiapress.com,https://doaj.org/toc/3aaa8f9fe2a242dfa4da121506401de1,2014-2862,,Hipatia Press,Spain
RIMCIS : International and Multidisciplinary Journal of Social Sciences,http://www.hipatiapress.com/hpjournals/index.php/rimcis/index,https://doaj.org/toc/2cafbe2924c846e399d053cc9d1620c5,2014-3680,,Hipatia Press,Spain
Crítica Penal y Poder,https://revistes.ub.edu/index.php/CriticaPenalPoder/index,https://doaj.org/toc/67662ed2efc34bc2b4b71d52e20d1483,2014-3753,,Universidad de Barcelona,Spain
Revista Internacional de Lenguas Extranjeras,https://revistes.urv.cat/index.php/rile,https://doaj.org/toc/66cc79f17ff6473e8af6cd07b031c9d6,2014-8100,,Universitat Rovira i Virgili,Spain
Revista Colombiana de Ciencia Animal Recia,http://www.recia.edu.co/,https://doaj.org/toc/fd7360151f3f476ebbe66265e3c12f26,2027-4297,,Universidad de Sucre,Colombia
eJournal of Oral Maxillofacial Research,http://www.ejomr.org/,https://doaj.org/toc/ba65a7c71cbb42a09c1df25f3fb1b6bd,2029-283X,,Stilus Optimus,Lithuania
Authorship,https://www.authorship.ugent.be/,https://doaj.org/toc/d81ec8a4c00e43cc8afa5bd34b3cde6c,2034-4643,,Ghent University,Belgium
International Journal of Psychoanalysis and Education,http://www.psychoedu.org,https://doaj.org/toc/2bb9a4437b4e42488adec0f2a5795f5f,2035-4630,,Associazione di Psicoanalisi della Relazione Educativa,Italy
Doctor Virtualis,http://riviste.unimi.it/index.php/DoctorVirtualis/index,https://doaj.org/toc/56dd16061e8b4dcfac4a20905435fe7f,2035-7362,,Università degli Studi di Milano,Italy
Altre Modernità,http://riviste.unimi.it/index.php/AMonline/index,https://doaj.org/toc/8780ab525f4e4b5092bbbb1df155ea94,2035-7680,,Università degli Studi di Milano,Italy
Aisthesis,https://oajournals.fupress.net/index.php/aisthesis/index,https://doaj.org/toc/b83f569541b84db0876de7368bc83ea5,2035-8466,,Firenze University Press,Italy
Danza e Ricerca,http://danzaericerca.unibo.it/,https://doaj.org/toc/b4588f7548d4476a92189cff66885e95,2036-1599,,University of Bologna,Italy
In_Bo,https://in-bo.unibo.it/,https://doaj.org/toc/f01a6e2483f94e57ba0820b15aa70d14,2036-1602,,University of Bologna,Italy
S&F_scienzaefilosofia.it,http://www.scienzaefilosofia.it,https://doaj.org/toc/2dabad535b854e759aa75f0bc5ec1426,2036-2927,,S&F_scienzaefilosofia.it,Italy
European Journal of Pragmatism and American Philosophy,https://journals.openedition.org/ejpap/,https://doaj.org/toc/612100b6023c4c59a8c5e02e2e2fef5a,2036-4091,,Associazione Pragma,Italy
Almatourism,http://almatourism.unibo.it/,https://doaj.org/toc/ebce97f3c2b74c85b9d7e960df56e801,2036-5195,,University of Bologna,Italy
Lo Sguardo - Rivista di Filosofia,http://www.losguardo.net/,https://doaj.org/toc/6244117700d445a9bf88f0d1a18faccd,2036-6558,,Edizioni di Storia e Letteratura,Italy
Enthymema,http://riviste.unimi.it/index.php/enthymema/index,https://doaj.org/toc/f0271793e1ac4462b636d37823ebc44e,2037-2426,,Università degli Studi di Milano,Italy
Italiano LinguaDue,http://riviste.unimi.it/index.php/promoitals/index,https://doaj.org/toc/a952b91fb835411cb0e84ab2ae0bd57a,2037-3597,,Università degli Studi di Milano,Italy
JLIS.it,https://www.jlis.it/,https://doaj.org/toc/b36f979186b94f9f9b30e95f39cfc4fc,2038-1026,,Firenze University Press,Italy
Economia Aziendale Online,http://riviste.paviauniversitypress.it/index.php/ea/index,https://doaj.org/toc/db4762709d424f42ae5b09e796f0a605,2038-5498,,Pavia University Press,Italy
PsicoArt,http://psicoart.unibo.it/,https://doaj.org/toc/beaa240e91734db0b7b0b26b88f79f94,2038-6184,,University of Bologna,Italy
Traces in Time,http://www.archaeologicaltraces.org/index.php/2014-01-28-09-56-01/traces-in-time,https://doaj.org/toc/46939db84223425c92ad90373bbb28a7,2038-7709,,A.T.P.G.,Italy
Ricerche di S/Confine,http://www.ricerchedisconfine.info,https://doaj.org/toc/02869d2ed1ff4e31bbcd0c9c7dda057f,2038-8411,,Università di Parma,Italy
Diritto Penale Contemporaneo,https://archiviodpc.dirittopenaleuomo.org/,https://doaj.org/toc/029045c065944d27a2553a4339bf16ae,2039-1676,,SantaMaria Valsecchi Vizzardi - Studio legale associato,Italy
Antropologia e Teatro,http://antropologiaeteatro.unibo.it/,https://doaj.org/toc/fb71786050534fa1bd5d193538c2a9ae,2039-2281,,University of Bologna,Italy
Il Capitale Culturale: Studies on the Value of Cultural Heritage,http://www.unimc.it/riviste/cap-cult,https://doaj.org/toc/194030ad521e4f469f3273a6afe8a6e4,2039-2362,,eum edizioni università di macerata,Italy
Musica Docta,http://musicadocta.unibo.it/,https://doaj.org/toc/ab312e9b89dc449ca25b0b81d4757d11,2039-9715,,University of Bologna,Italy
Journal of Global Analysis,http://journalofglobalanalysis.com/,https://doaj.org/toc/d9d6c1edf67146bf8c8b50ebde54b71d,2041-1944,,Centre for Strategic Research & Analysis,United Kingdom
Blood Cancer Journal,http://www.nature.com/bcj/index.html,https://doaj.org/toc/3c4fcba7ee9e4bfd93eaad9f17ec192a,2044-5385,,Nature Publishing Group,United Kingdom
International Practice Development Journal,http://www.fons.org/library/journal.aspx,https://doaj.org/toc/1eb428472762439c88b7157708657be6,2046-9292,,Foundation of Nursing Studies,United Kingdom
Acta Radiologica Short Reports,http://arr.sagepub.com/content/by/year,https://doaj.org/toc/47b69e8375974a3098d95935f3c7bd00,2047-9816,,SAGE Publishing,United Kingdom
JRSM Cardiovascular Disease,https://journals.sagepub.com/home/cvd,https://doaj.org/toc/1783c7a941674b388757eec375dd4052,2048-0040,,SAGE Publishing,United Kingdom
Journal of Practical Ethics,http://www.jpe.ox.ac.uk/,https://doaj.org/toc/12f39ae8a18b4c6e8ddb1097d1ddd81b,2051-655X,,Oxford Uehiro Centre for Practical Ethics,United Kingdom
