Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Publisher,Country of publisher
Russian Open Medical Journal,http://www.romj.org,https://doaj.org/toc/85b17826b379421696afe6aa6165aa0e,2304-3415,,Limited liability company «Science and Innovations» (Saratov),Russian Federation
Dentistry Journal,http://www.mdpi.com/journal/dentistry,https://doaj.org/toc/3427117afe284f43ab9aeacaca8c748c,2304-6767,,MDPI AG,Switzerland
Foods,http://www.mdpi.com/journal/foods,https://doaj.org/toc/6d59bbfecab14d41bb99c9955df30a7b,2304-8158,,MDPI AG,Switzerland
Stroitel’stvo: Nauka i Obrazovanie,http://www.nso-journal.ru,https://doaj.org/toc/891513b1e9a841378a4a2390f93e3daa,2305-5502,,Moscow State University of Civil Engineering (MGSU),Russian Federation
Medienimpulse,http://www.medienimpulse.at,https://doaj.org/toc/957803ee8c9746dba56345e19e361258,2307-3187,,"Bundesministerium für Bildung, Wissenschaft und Forschung",Austria
International Journal of Open Information Technologies,http://injoit.org,https://doaj.org/toc/057df7c4ef5648ea9743ac1856d7d6f3,2307-8162,,Lomonosov Moscow State University,Russian Federation
International Journal of English Language and Translation Studies,http://www.eltsjournal.org,https://doaj.org/toc/e62d3c1e20dd40a88b68b6c569b9a83f,2308-5460,,Lasting Impressions Press,Libya
Освітологічний дискурс,https://od.kubg.edu.ua/index.php/journal/aboutJournal,https://doaj.org/toc/de659f2686d14cc1a0f1f45a7f0bd5b6,2312-5829,,Borys Grinchenko Kyiv University,Ukraine
Revista de Gestão em Sistemas de Saúde,https://periodicos.uninove.br/index.php?journal=revistargss,https://doaj.org/toc/160e1f6690cd42a79562dfb1c0bcde9a,2316-3712,,Universidade Nove de Julho,Brazil
Scientific Electronic Archives,https://sea.ufr.edu.br/SEA,https://doaj.org/toc/3f31e4dd93854c8d8a76bf62751fecb9,2316-9281,,Universidade Federal de Rondonópolis,Brazil
Revista Brasileira de Educação de Jovens e Adultos,http://www.revistas.uneb.br/index.php/educajovenseadultos,https://doaj.org/toc/703d6a6bf90b4133ba309a1b81041afd,2317-6571,,Universidade do Estado da Bahia,Brazil
Revista Evidenciação Contábil & Finanças,http://periodicos.ufpb.br/ojs2/index.php/recfin/index,https://doaj.org/toc/bc57c14bbd144741a444527c5dd165c4,2318-1001,,Universidade Federal da Paraíba,Brazil
Research and Development in Medical Education,https://rdme.tbzmed.ac.ir/,https://doaj.org/toc/5c8a71cb42e245d0ad1e3c4f5d983d36,2322-2719,,Tabriz University of Medical Sciences,"Iran, Islamic Republic of"
Journal of Neurorestoratology,http://jnr.tsinghuajournals.com/EN/2324-2426/home.shtml,https://doaj.org/toc/6341fd9f504043b29fb1f7fcd47984ea,2324-2426,,Tsinghua University Press,China
Global Education Review,http://ger.mercy.edu,https://doaj.org/toc/2ca1b18d961d4b5b8282bb0e7390a5d5,2325-663X,,Mercy College,United States
Orthopaedic Journal of Sports Medicine,https://journals.sagepub.com/home/ojs,https://doaj.org/toc/9d6455c5843746b6a5986feab7c13427,2325-9671,,SAGE Publishing,United States
Hipogrifo: Revista de Literatura y Cultura del Siglo de Oro,http://www.revistahipogrifo.com/index.php/hipogrifo,https://doaj.org/toc/f8238a8c24424ffcb9410cf0b7bb6f35,2328-1308,,Instituto de Estudios Auriseculares (IDEA),United States
Althea Medical Journal,http://journal.fk.unpad.ac.id/index.php/amj,https://doaj.org/toc/890d5dcb60794b6188efe40b69a62440,2337-4330,,Universitas Padjadjaran,Indonesia
E-Journal of Cultural Studies,http://ojs.unud.ac.id/index.php/ecs,https://doaj.org/toc/d962dd7ba13c4f0db8eea21f91fe92a4,2338-2449,,Universitas Udayana,Indonesia
Scripta: Revista Internacional de Literatura i Cultura Medieval i Moderna,https://ojs.uv.es/index.php/scripta/index,https://doaj.org/toc/07677d3987284276b614b2521380e968,2340-4841,,Universitat de València,Spain
International Journal of Production Management and Engineering,http://polipapers.upv.es/index.php/IJPME,https://doaj.org/toc/130b4bcea9a84f30ad36c4769c2e6556,2340-4876,,Universitat Politecnica de Valencia,Spain
HipoTesis Serie Numerada,http://www.hipo-tesis.eu/serienumerada_ingles.html,https://doaj.org/toc/4c69b26fd7df4cd4b650a91a125b8b17,2340-5147,,Plataforma HipoTesis,Spain
Social Transformations in Contemporary Society,http://stics.mruni.eu/annual-journal/,https://doaj.org/toc/10a40108dbb94e3ba8a9f3346a3590b7,2345-0126,,Mykolas Romeris University,Lithuania
Aquaculture Reports,http://www.journals.elsevier.com/aquaculture-reports/,https://doaj.org/toc/c5da4cead6fb4d278222c3373692e825,2352-5134,,Elsevier,Netherlands
SoftwareX,http://www.journals.elsevier.com/softwarex/,https://doaj.org/toc/aebea1c2d72c41cfae9da55edb18f140,2352-7110,,Elsevier,Netherlands
SSM: Population Health,http://www.journals.elsevier.com/ssm-population-health/,https://doaj.org/toc/dced0891114840109875ab4ba008722e,2352-8273,,Elsevier,United Kingdom
Scripta Biologica,https://journal.bio.unsoed.ac.id/index.php/scribio/index,https://doaj.org/toc/568d0ae6f6a54f30a49543707cec506b,2355-3138,,Jenderal Soedirman University,Indonesia
Jurnal Riset dan Kajian Pendidikan Fisika,http://journal.uad.ac.id/index.php/JRKPF,https://doaj.org/toc/7a06e1baa0ce48c0ae5d4afe862842a0,2355-620X,,Universitas Ahmad Dahlan,Indonesia
AIMS Biophysics,http://www.aimspress.com/journal/biophysics,https://doaj.org/toc/ae38c8ad56e449a9a9b523549f392850,2377-9098,,AIMS Press,United States
Journal of Daylighting,https://solarlits.com/jd/,https://doaj.org/toc/36363de37a99469ca854e7c213445b06,2383-8701,,SolarLits,Pakistan
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,https://www.journals.elsevier.com/journal-of-clinical-tuberculosis-and-other-mycobacterial-diseases/,https://doaj.org/toc/8160044169fd4317b08772f4cab1f374,2405-5794,,Elsevier,United Kingdom
eNeurologicalSci,https://www.journals.elsevier.com/eneurologicalsci/,https://doaj.org/toc/78cb7d9ef19449c4ad5bc5b3071f93b7,2405-6502,,Elsevier,Netherlands
Journal of Finance and Data Science,http://www.keaipublishing.com/en/journals/the-journal-of-finance-and-data-science/,https://doaj.org/toc/cb915fc5286740ef84793e600c04faa0,2405-9188,,"KeAi Communications Co., Ltd.",Netherlands
e-Journal of Linguistics,http://ojs.unud.ac.id/index.php/eol,https://doaj.org/toc/a115b1621fc347f586cbf3b6b0fedfc3,2442-7586,,Universitas Udayana,Indonesia
IBRO Reports,https://www.journals.elsevier.com/ibro-reports/,https://doaj.org/toc/df59e253d1f84848bd1038996e098e7c,2451-8301,,Elsevier,United Kingdom
Neurobiology of Pain,https://www.journals.elsevier.com/neurobiology-of-pain/,https://doaj.org/toc/1fecb71254c141c4a6a33ea0e525a1ec,2452-073X,,Elsevier,United States
JACC: Basic to Translational Science,https://www.journals.elsevier.com/jacc-basic-to-translational-science/,https://doaj.org/toc/e16bd5aaff764e70b9029cffe7b365fe,2452-302X,,Elsevier,United States
Clinical Neurophysiology Practice,https://www.journals.elsevier.com/clinical-neurophysiology-practice,https://doaj.org/toc/eadd61a883e34bf28627ba09530d559d,2467-981X,,Elsevier,Netherlands
Kidney International Reports,http://www.journals.elsevier.com/kidney-international-reports/,https://doaj.org/toc/b6b289bd541c4fc0b60aca4643762803,2468-0249,,Elsevier,United States
Otolaryngology Case Reports,https://www.journals.elsevier.com/otolaryngology-case-reports/,https://doaj.org/toc/4f55337e79f947b7816c484d5b8134c1,2468-5488,,Elsevier,Netherlands
Proceedings,http://www.mdpi.com/journal/proceedings,https://doaj.org/toc/d7c103a47c074401ae318debd94b1bc5,2504-3900,,MDPI AG,Switzerland
Journal of Manufacturing and Materials Processing,http://www.mdpi.com/journal/jmmp,https://doaj.org/toc/b3451ff9b86d464ba8d84281ff795115,2504-4494,,MDPI AG,Switzerland
"Journal of Languages, Texts and Society",https://www.nottingham.ac.uk/research/groups/languagestextssociety/lts-journal/lts-journal.aspx,https://doaj.org/toc/2006bac2ad694a68966e14fdb96e3f9d,2517-648X,,University of Nottingham,United Kingdom
Клінічна та профілактична медицина,http://cp-medical.com/index.php/journal,https://doaj.org/toc/2d036c7de89f4214ad058c9b50fe3b9a,2616-4868,,State Institution of Science «Research and Practical Center of Preventive and Clinical Medicine» State Administrative Department,Ukraine
